STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/2/2023,64,78,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/3/2023,61,73,49
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/4/2023,64,78,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/5/2023,61.5,78,45
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/6/2023,65.5,82,49
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/7/2023,67.5,84,51
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/8/2023,67,86,48
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/9/2023,67,85,49
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/10/2023,67,78,56
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/11/2023,61.5,71,52
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/12/2023,58.5,68,49
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/13/2023,59,76,42
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/14/2023,61,82,40
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/15/2023,66,78,54
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/16/2023,57,65,49
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/17/2023,61,78,44
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/18/2023,66,87,45
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/19/2023,74,93,55
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/20/2023,73.5,84,63
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/21/2023,69.5,79,60
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/22/2023,68.5,80,57
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/23/2023,68,79,57
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/24/2023,61.5,75,48
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/25/2023,61.5,78,45
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/26/2023,66.5,81,52
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/27/2023,75.5,88,63
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/28/2023,67,83,51
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/29/2023,68,82,54
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",6/30/2023,63,73,53
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/1/2023,65,80,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/2/2023,70,86,54
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/3/2023,72.5,92,53
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/4/2023,62.5,71,54
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/5/2023,55.5,59,52
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/6/2023,61,70,52
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/7/2023,61.5,75,48
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/8/2023,58.5,66,51
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/9/2023,65,82,48
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/10/2023,73,90,56
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/11/2023,75,88,62
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/12/2023,70,86,54
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/13/2023,74,87,61
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/14/2023,69,82,56
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/15/2023,68,86,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/16/2023,73,88,58
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/17/2023,72.5,87,58
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/18/2023,75.5,89,62
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/19/2023,73.5,86,61
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/20/2023,59,67,51
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/21/2023,65.5,85,46
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/22/2023,71,92,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/23/2023,76,99,53
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/24/2023,76,96,56
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/25/2023,79.5,99,60
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/26/2023,76.5,99,54
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/27/2023,77,100,54
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/28/2023,75.5,93,58
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/29/2023,76,90,62
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/30/2023,80.5,98,63
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",7/31/2023,74.5,88,61
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/1/2023,76,87,65
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/2/2023,75,87,63
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/3/2023,72.5,83,62
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/4/2023,72.5,85,60
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/5/2023,68,80,56
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/6/2023,66,77,55
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/7/2023,67.5,81,54
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/8/2023,64.5,80,49
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/9/2023,65.5,81,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/10/2023,71,87,55
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/11/2023,68.5,87,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/12/2023,70,85,55
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/13/2023,59,74,44
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/14/2023,60.5,79,42
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/15/2023,69.5,93,46
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/16/2023,74.5,101,48
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/17/2023,69.5,89,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/18/2023,82,103,61
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/19/2023,77.5,92,63
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/20/2023,76.5,89,64
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/21/2023,80,103,57
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/22/2023,79.5,101,58
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/23/2023,78.5,98,59
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/24/2023,78,96,60
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/25/2023,66,73,59
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/26/2023,65,82,48
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/27/2023,70.5,90,51
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/28/2023,68,82,54
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/29/2023,67,87,47
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/30/2023,73.5,95,52
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",8/31/2023,72,97,47
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/1/2023,79.5,100,59
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/2/2023,76,99,53
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/3/2023,80,97,63
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/4/2023,73,92,54
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/5/2023,56,71,41
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/6/2023,61.5,86,37
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/7/2023,69.5,91,48
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/8/2023,67.5,91,44
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/9/2023,67,82,52
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/10/2023,60.5,68,53
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/11/2023,58.5,70,47
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/12/2023,60.5,77,44
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/13/2023,63.5,79,48
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/14/2023,60,70,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/15/2023,59,75,43
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/16/2023,59.5,80,39
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/17/2023,63,87,39
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/18/2023,63.5,87,40
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/19/2023,65,86,44
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/20/2023,65,84,46
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/21/2023,63.5,76,51
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/22/2023,60,67,53
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/23/2023,54,69,39
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/24/2023,58,76,40
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/25/2023,58,82,34
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/26/2023,56.5,78,35
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/27/2023,65.5,85,46
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/28/2023,65,80,50
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/29/2023,63,77,49
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",9/30/2023,65,84,46
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/1/2023,72,85,59
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/2/2023,67.5,86,49
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/3/2023,55,68,42
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/4/2023,52.5,69,36
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/5/2023,53,62,44
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/6/2023,40,53,27
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/7/2023,48,72,24
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/8/2023,52,74,30
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/9/2023,50,72,28
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/10/2023,53.5,77,30
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/11/2023,57,75,39
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/12/2023,44.5,53,36
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/13/2023,39.5,47,32
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/14/2023,37.5,50,25
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/15/2023,43.5,58,29
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/16/2023,49.5,72,27
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/17/2023,58,83,33
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/18/2023,50,65,35
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/19/2023,55.5,76,35
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/20/2023,57,80,34
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/21/2023,51.5,71,32
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/22/2023,51.5,68,35
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/23/2023,54.5,79,30
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/24/2023,49.5,58,41
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/25/2023,46.5,59,34
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/26/2023,26,34,18
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/27/2023,19.5,33,6
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/28/2023,23,25,21
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/29/2023,21.5,33,10
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/30/2023,25,46,4
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",10/31/2023,28.5,48,9
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/1/2023,37.5,60,15
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/2/2023,41,67,15
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/3/2023,48,62,34
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/4/2023,44,62,26
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/5/2023,54,76,32
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/6/2023,48,67,29
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/7/2023,44.5,65,24
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/8/2023,34.5,52,17
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/9/2023,31,48,14
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/10/2023,33,54,12
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/11/2023,36.5,60,13
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/12/2023,44,64,24
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/13/2023,47.5,68,27
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/14/2023,48.5,69,28
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/15/2023,46,69,23
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/16/2023,41.5,60,23
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/17/2023,39,58,20
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/18/2023,42,64,20
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/19/2023,44,62,26
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/20/2023,40.5,48,33
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/21/2023,38,54,22
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/22/2023,45,69,21
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/23/2023,26,33,19
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/24/2023,16,20,12
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/25/2023,13.5,24,3
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/26/2023,24,34,14
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/27/2023,23.5,37,10
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/28/2023,27,45,9
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/29/2023,32,53,11
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",11/30/2023,25.5,35,16
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/1/2023,28.5,39,18
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/2/2023,28,41,15
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/3/2023,28.5,42,15
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/4/2023,33.5,48,19
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/5/2023,41,57,25
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/6/2023,45.5,67,24
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/7/2023,40.5,62,19
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/8/2023,34,45,23
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/9/2023,24.5,39,10
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/10/2023,30,49,11
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/11/2023,36,53,19
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/12/2023,25,33,17
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/13/2023,27,42,12
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/14/2023,29.5,41,18
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/15/2023,29.5,47,12
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/16/2023,35,58,12
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/17/2023,36,56,16
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/18/2023,32,51,13
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/19/2023,40,61,19
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/20/2023,42,64,20
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/21/2023,40.5,61,20
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/22/2023,38.5,59,18
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/23/2023,32.5,47,18
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/24/2023,27.5,33,22
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/25/2023,23.5,27,20
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/26/2023,27,31,23
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/27/2023,22.5,35,10
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/28/2023,21.5,37,6
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/29/2023,26.5,47,6
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/30/2023,26.5,42,11
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",12/31/2023,18.5,33,4
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",1/1/2024,27,48,6
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",1/2/2024,26,41,11
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",1/3/2024,21.5,37,6
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",1/4/2024,25.5,28,23
USW00024044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",1/5/2024,27.5,39,16
